agent,userType,policy_mode,producer,policy_number,premium_amount_written,premium_amount,policy_type,company_name,category_name,policy_start_date,policy_end_date,csr,account_name,email,gender,firstname,city,account_type,phone,address,state,zip,dob,primary,Applicant ID,agency_id,hasActive ClientPolicy
Alex Watson,Active Client,12,Phil Chico,3UMIX1NV7ZEN,,1037,Single,Nationwide Gen Ins Co,Commercial Auto,2018-03-04,2019-03-04,Randy Moss,Phillip Lanier & Frank Wright,dgatwood@att.net,,Phillip Lanier,Winston Salem,Commercial,(336) 893-6943,206 MILLERS CREEK DR,NC,27127,1979-02-21,,,,
Alex Watson,Active Client,12,Brandie Placencia,D7MXCVOWJP5N,,1009.15,Single,Nationwide Gen Ins Co_Copy,Commercial Auto,2019-03-04,2020-03-04,Reuben Stokes,Barry Fagg & Mindy Baldwin,crimsane@comcast.net,,Barry Fagg,Winston Salem,Commercial,(336) 893-6943,206 MILLERS CREEK DR,NC,27127,1979-02-21,,,,
Alex Watson,Active Client,12,Sol Birney,5TLFIUN6UDMR,,14520,Package,Nationwide Mut Ins Co_Copy,Commercial Package,2018-12-31,2019-12-31,Donnie Key,Benjamin Baker & Walker Lucero,sriha@aol.com,,Benjamin Baker,Winston Salem,Commercial,(336) 724-1721,2700 Boulder Park Ct,NC,27101-4776,1979-02-21,,,,
Alex Watson,Active Client,12,Yee Ribble,P90113FX8PZ1,,68138,Package,Nationwide Mut Ins Co_Copy,Commercial Package,2018-12-31,2019-12-31,Richie Young,Peggy Garrell & Alisa Roth,dinther@comcast.net,,Peggy Garrell,Winston Salem,Commercial,(336) 724-1721,2700 Boulder Park Ct,NC,27101-4776,1970-01-07,,,,
Alex Watson,Active Client,6,Carmella Landers,RJFADMRO26FR,,242.82,Single,Nationwide Gen Ins Co_Copy,Personal Auto,2019-01-07,2019-07-07,Troy Norton,Kenneth Shore & Greg Dunlap,ramollin@hotmail.com,,Kenneth Shore,PFAFFTOWN,Commercial,(336) 923-2247,6506 SKYLARK RD,NC,27040-7419,1970-01-07,,,,
Alex Watson,Active Client,12,Jared Roan,4HTE7CDAC8O9,,166.01,Single,Nationwide Prop & Cas Ins Co,Watercraft (Small Boat),2018-06-02,2019-06-02,Burton Stanley,E Griffin & Pat Giles,mcrawfor@verizon.net,,E Griffin,PFAFFTOWN,Commercial,(336) 923-2247,6506 SKYLARK RD,NC,27040-7419,1959-09-03,,,,
Alex Watson,Active Client,12,Victorina Ebert,THN4OMQR12LY,,923.39,Single,Scottsdale Ins Co,General Liability,2018-09-07,2019-09-07,Rick Kramer,Wilmer Woodruff & Wilda Hayes,munge@yahoo.ca,,Wilmer Woodruff,Winston Salem,Commercial,(336) 287-1292,143 Holbrook St.,NC,27107,1975-12-14,,,,
Alex Watson,Active Client,12,Emiko Lobo,LEQ6A3OTBEGB,,1716,Single,Scottsdale Ins Co,Excess Liability,2018-09-07,2019-09-07,Scott Chang,Ishmail Smith & Monte Rice,gozer@hotmail.com,,Ishmail Smith,Winston Salem,Commercial,(336) 287-1292,143 Holbrook St.,NC,27107,1975-12-14,,,,
Alex Watson,Active Client,12,Xavier Hughes,FOG3JEFNNNLZ,,100,Single,Nationwide Mut Ins Co_Copy,Bond,2019-02-01,2020-02-01,Maria Patton,James Glenn & Joni Myers,airship@comcast.net,,James Glenn,Welcome,Commercial,(336) 722-4129,P.O. BOX 450,NC,27374-0450,1993-10-09,,,,
Alex Watson,Active Client,12,Aubrey Loder,H9LGI5JW5TUH,,133736,Package,Nationwide Mut Ins Co,Commercial Package,2018-09-14,2019-09-14,Loren Buckley,Robert Harkrader & Lorna Fields,ismail@live.com,,Robert Harkrader,Welcome,Commercial,(336) 722-4129,P.O. BOX 450,NC,27374-0450,1993-10-09,,,,
Alex Watson,Active Client,12,Dayle Mckeithan,6CXB4WTQC50B,,77991,Package,Nationwide Mut Ins Co_Copy,Commercial Package,2018-09-14,2019-09-14,Kory Vazquez,Lewis Smith & Petra Mueller,isorashi@verizon.net,,Lewis Smith,Welcome,Commercial,(336) 722-4129,P.O. BOX 450,NC,27374-0450,1960-11-18,,,,
Alex Watson,Active Client,12,Lurlene Raynes,SU9PQV6YLFED,,69000,Single,K & K Insurance,Commercial Auto,2018-03-07,2019-03-07,Rupert Petty,Melba Johnson & Stacey Fox,jsnover@outlook.com,,Melba Johnson,Welcome,Commercial,(336) 722-4129,P.O. BOX 450,NC,27374-0450,1949-05-11,,,,
Alex Watson,Active Client,12,Alton Shute,87B1LAMYVU2S,,29000,Single,K & K Insurance,Commercial Inland Marine,2018-03-07,2019-03-07,Darcy Brown,Charles Hunter & Hoyt Lynch,hakim@hotmail.com,,Charles Hunter,Welcome,Commercial,(336) 722-4129,P.O. BOX 450,NC,27374-0450,1949-05-11,,,,
Alex Watson,Active Client,12,Vasiliki Stiefel,FWTHJ3G0LWJ3,,4371,Single,K & K Insurance,Commercial Auto,2018-09-26,2019-09-26,Fay Herring,Tony Whitaker & Meagan Barnes,bolow@optonline.net,,Tony Whitaker,Welcome,Commercial,(336) 722-4129,P.O. BOX 450,NC,27374-0450,1949-05-11,,,,
Alex Watson,Active Client,12,Ignacio Lewellen,L1UQ2SP8YPV6,,4375,Single,Atlantic Cas Ins Co,Commercial Auto,2018-09-30,2019-09-30,Kelvin Ramirez,David Reese & Sammy Kaufman,grothoff@verizon.net,,David Reese,,Commercial,(336) 250-7746,,,,1949-05-11,,,,
Alex Watson,Active Client,12,Brice Delatorre,ZK0QS85CPXHG,,1201,Single,Tarheel Insurance,Worker's Compensation,2018-05-12,2019-05-12,Dwain Reid,Samuel Richardson & Lionel Sampson,jbailie@optonline.net,,Samuel Richardson,Pilot Mountain,Commercial,(336) 413-9530,P.O. BOX 58,NC,27041-0058,1949-05-11,,,,
Alex Watson,Active Client,12,Leonardo Setser,ETAHZZQHKHZ3,,1404,Package,Nationwide Mut Ins Co,Commercial Package,2018-05-09,2019-05-09,Evan Larsen,Deborah Tester & Juana Jimenez,dogdude@comcast.net,,Deborah Tester,Pilot Mountain,Commercial,(336) 413-9530,P.O. BOX 58,NC,27041-0058,1949-05-11,,,,
Alex Watson,Active Client,12,Colene Dinapoli,KBCSN9A1R924,,550,Single,Nationwide Gen Ins Co,Business Owners,2018-11-14,2019-11-14,Reba Moses,Lauren Anderson & Kim Morales,amaranth@comcast.net,,Lauren Anderson,Clemmons,Commercial,(336) 778-0132,6255 Towncenter Dr # 670,NC,27012-9376,1964-10-19,,,,
Alex Watson,Active Client,12,Shara Sayer,BHGY8TQDFZLI,,18995,Single,Tarheel Insurance,Worker's Compensation,2018-05-26,2019-05-26,Althea Crane,Stephen T & Susana Navarro,jbuchana@yahoo.com,,Stephen T,Clyde,Commercial,(828) 627-0001,P.O. BOX 1079,NC,28721-1079,1992-03-01,,,,
Alex Watson,Active Client,12,Mica Maly,OU0EWN3U5HBQ,,26684,Package,Nationwide Mut Ins Co,Commercial Package,2018-05-26,2019-05-26,Beau Hoffman,Qualifying Profiles & Jeramy Moreno,howler@outlook.com,,Qualifying Profiles,Clyde,Commercial,(828) 627-0001,P.O. BOX 1079,NC,28721-1079,1992-03-01,,,,
Alex Watson,Active Client,12,Roy Dries,3NBLZ0PW5Z8P,,28120,Package,Nationwide Mut Ins Co_Copy,Commercial Package,2018-05-26,2019-05-26,Darwin Miranda,Jerry Treadway & Dale Drake,satch@outlook.com,,Jerry Treadway,Clyde,Commercial,(828) 627-0001,P.O. BOX 1079,NC,28721-1079,1982-09-27,,,,
